"SUMLEV","REGION","DIVISION","STATE","NAME","SEX","AGE","ESTBASE2010_CIV","POPEST2010_CIV","POPEST2011_CIV","POPEST2012_CIV","POPEST2013_CIV","POPEST2014_CIV"
40,4,8,8,Colorado,0,40 - 49,713733,712832,710551,707144,702777,699923
40,4,8,8,Colorado,0,50 - 59,699046,701370,712902,721718,727055,729575
40,4,8,8,Colorado,0,60 - 69,451759,457458,484293,509787,533156,558000
40,4,8,8,Colorado,0,70 - 79,224376,225846,233964,244274,259640,274026
40,4,8,8,Colorado,0,80 - 89,142757,142757,148325,152357,156291,159760
40,4,8,8,Colorado,0,999,5000474,5015202,5085516,5156983,5235767,5319728
40,4,8,8,Colorado,1,0 - 9,354143,354121,354565,354881,354600,354345
40,4,8,8,Colorado,1,10 - 19,345102,346425,349032,350496,352930,356692
40,4,8,8,Colorado,1,20 - 29,361464,362159,367723,375190,383098,393574
40,4,8,8,Colorado,1,30 - 39,356185,356393,358399,363575,372121,381200
40,4,8,8,Colorado,1,40 - 49,357466,357335,357491,356637,355242,354881
40,4,8,8,Colorado,1,50 - 59,345683,346601,351607,355484,357794,359370
40,4,8,8,Colorado,1,60 - 69,220111,222889,236037,248410,259512,271177
40,4,8,8,Colorado,1,70 - 79,103229,103971,107961,112924,120352,127389
40,4,8,8,Colorado,1,80 - 89,52891,52891,55769,57932,60011,61867
40,4,8,8,Colorado,1,999,2496274,2503415,2538584,2575529,2615660,2660495
40,4,8,8,Colorado,2,0 - 9,338420,338333,337909,336836,336327,335577
40,4,8,8,Colorado,2,10 - 19,326023,327484,330387,331944,334972,338972
40,4,8,8,Colorado,2,20 - 29,344954,346100,352280,357914,364403,371692
40,4,8,8,Colorado,2,30 - 39,342512,342700,345186,350867,358397,366392
40,4,8,8,Colorado,2,40 - 49,356267,355497,353060,350507,347535,345042
40,4,8,8,Colorado,2,50 - 59,353363,354769,361295,366234,369261,370205
40,4,8,8,Colorado,2,60 - 69,231648,234569,248256,261377,273644,286823
40,4,8,8,Colorado,2,70 - 79,121147,121875,126003,131350,139288,146637
40,4,8,8,Colorado,2,80 - 89,89866,89866,92556,94425,96280,97893
40,4,8,8,Colorado,2,999,2504200,2511787,2546932,2581454,2620107,2659233
40,1,1,9,Connecticut,0,0 - 9,424677,422879,417378,412014,405969,399603
40,1,1,9,Connecticut,0,10 - 19,490512,492810,495078,491843,486586,481436
40,1,1,9,Connecticut,0,20 - 29,437204,439621,444312,447813,455293,461450
40,1,1,9,Connecticut,0,30 - 39,426586,425303,420675,420423,423146,425973
40,1,1,9,Connecticut,0,40 - 49,552448,550179,540554,527103,511084,492465
40,1,1,9,Connecticut,0,50 - 59,524347,527178,538276,545796,550529,553581
40,1,1,9,Connecticut,0,60 - 69,352569,355166,367359,377827,385322,395754
40,1,1,9,Connecticut,0,70 - 79,194916,194908,196765,201508,210871,217363
40,1,1,9,Connecticut,0,80 - 89,162363,162363,162763,162495,162109,161457
40,1,1,9,Connecticut,0,999,3565622,3570821,3583160,3586822,3590909,3589082
40,1,1,9,Connecticut,1,0 - 9,217238,216313,213345,210296,207034,203695
40,1,1,9,Connecticut,1,10 - 19,251295,252320,253258,251291,248541,245981
40,1,1,9,Connecticut,1,20 - 29,220566,222024,225506,228025,232344,236047
40,1,1,9,Connecticut,1,30 - 39,208786,208368,206383,206160,207708,209465
40,1,1,9,Connecticut,1,40 - 49,268523,267362,262628,256150,248184,239224
40,1,1,9,Connecticut,1,50 - 59,255538,256907,262199,265590,267728,269068
40,1,1,9,Connecticut,1,60 - 69,167190,168444,174274,179351,183110,188060
40,1,1,9,Connecticut,1,70 - 79,85239,85323,86565,89129,93897,97367
40,1,1,9,Connecticut,1,80 - 89,57317,57317,58143,58393,58539,58581
40,1,1,9,Connecticut,1,999,1731692,1734622,1742301,1744385,1747085,1747488
40,1,1,9,Connecticut,2,0 - 9,207439,206566,204033,201718,198935,195908
40,1,1,9,Connecticut,2,10 - 19,239217,240490,241820,240552,238045,235455
40,1,1,9,Connecticut,2,20 - 29,216638,217597,218806,219788,222949,225403
40,1,1,9,Connecticut,2,30 - 39,217800,216935,214292,214263,215438,216508
40,1,1,9,Connecticut,2,40 - 49,283925,282817,277926,270953,262900,253241
40,1,1,9,Connecticut,2,50 - 59,268809,270271,276077,280206,282801,284513
40,1,1,9,Connecticut,2,60 - 69,185379,186722,193085,198476,202212,207694
40,1,1,9,Connecticut,2,70 - 79,109677,109585,110200,112379,116974,119996
40,1,1,9,Connecticut,2,80 - 89,105046,105046,104620,104102,103570,102876
40,1,1,9,Connecticut,2,999,1833930,1836199,1840859,1842437,1843824,1841594
40,3,5,10,Delaware,0,0 - 9,112372,112276,112224,112818,112823,112860
40,3,5,10,Delaware,0,10 - 19,121293,120853,119676,118595,116846,117017
40,3,5,10,Delaware,0,20 - 29,118346,118914,121305,123225,124735,126370
40,3,5,10,Delaware,0,30 - 39,108150,108083,107924,108539,109781,111537
40,3,5,10,Delaware,0,40 - 49,127804,127516,126229,124096,121165,118172
40,3,5,10,Delaware,0,50 - 59,123729,124457,126989,129550,131530,133591
40,3,5,10,Delaware,0,60 - 69,94916,95718,99386,102835,106227,110625
40,3,5,10,Delaware,0,70 - 79,54531,54815,56226,58373,62089,64951
40,3,5,10,Delaware,0,80 - 89,32939,32939,34026,34973,35882,36606
40,3,5,10,Delaware,0,999,894080,895831,903985,913004,921078,931729
40,3,5,10,Delaware,1,0 - 9,57192,57139,56992,57203,57067,57146
40,3,5,10,Delaware,1,10 - 19,61490,61250,60682,60219,59218,59277
40,3,5,10,Delaware,1,20 - 29,58463,58757,60019,60958,61679,62700
40,3,5,10,Delaware,1,30 - 39,52628,52549,52381,52737,53401,54335
40,3,5,10,Delaware,1,40 - 49,61713,61561,60945,59792,58409,56859
40,3,5,10,Delaware,1,50 - 59,58792,59128,60391,61812,62691,63716
40,3,5,10,Delaware,1,60 - 69,44356,44713,46385,47914,49453,51427
40,3,5,10,Delaware,1,70 - 79,24796,24925,25598,26608,28312,29664
40,3,5,10,Delaware,1,80 - 89,12291,12291,12912,13406,13899,14303
40,3,5,10,Delaware,1,999,431721,432441,436305,440649,444129,449427
40,3,5,10,Delaware,2,0 - 9,55180,55137,55232,55615,55756,55714
40,3,5,10,Delaware,2,10 - 19,59803,59603,58994,58376,57628,57740
40,3,5,10,Delaware,2,20 - 29,59883,60157,61286,62267,63056,63670
40,3,5,10,Delaware,2,30 - 39,55522,55534,55543,55802,56380,57202
40,3,5,10,Delaware,2,40 - 49,66091,65955,65284,64304,62756,61313
40,3,5,10,Delaware,2,50 - 59,64937,65329,66598,67738,68839,69875
40,3,5,10,Delaware,2,60 - 69,50560,51005,53001,54921,56774,59198
40,3,5,10,Delaware,2,70 - 79,29735,29890,30628,31765,33777,35287
