Region,Country,Year,Age,Both Sexes Population,Male Population,Female Population,Percent Both Sexes,Percent Male,Percent Female,Sex Ratio,,,,,,,,
Custom Region,Uruguay,2014,4,44572,22683,21889,1.3,1.4,1.3,103.6,,,50 - 59,,,,,379546
Custom Region,Uruguay,2014,5,45088,22951,22137,1.4,1.4,1.3,103.7,,,60 - 69,,,,,287246
Custom Region,Uruguay,2014,6,45619,23225,22394,1.4,1.4,1.3,103.7,,,70 - 79,,,,,202088
Custom Region,Uruguay,2014,7,46107,23477,22630,1.4,1.5,1.3,103.7,,,80 - 89,,,,,109643
Custom Region,Uruguay,2014,8,46034,23436,22598,1.4,1.5,1.3,103.7,,,90 - 99,,,,,20089
Custom Region,Uruguay,2014,9,47186,24018,23168,1.4,1.5,1.3,103.7,,,999,,,,,3332972
Custom Region,Uruguay,2014,10,48857,24863,23994,1.5,1.5,1.4,103.6,,,,,,,,
Custom Region,Uruguay,2014,11,49693,25281,24412,1.5,1.6,1.4,103.6,,,,,,,,
Custom Region,Uruguay,2014,12,50298,25582,24716,1.5,1.6,1.4,103.5,,,,,,,,
Custom Region,Uruguay,2014,13,50650,25745,24905,1.5,1.6,1.4,103.4,,,,,,,,
Custom Region,Uruguay,2014,14,51649,26234,25415,1.5,1.6,1.5,103.2,,,,,,,,
Custom Region,Uruguay,2014,15,52551,26663,25888,1.6,1.7,1.5,103,,,,,,,,
Custom Region,Uruguay,2014,16,54403,27579,26824,1.6,1.7,1.6,102.8,,,,,,,,
Custom Region,Uruguay,2014,17,56311,28518,27793,1.7,1.8,1.6,102.6,,,,,,,,
Custom Region,Uruguay,2014,18,54957,27816,27141,1.6,1.7,1.6,102.5,,,,,,,,
Custom Region,Uruguay,2014,19,53379,27015,26364,1.6,1.7,1.5,102.5,,,,,,,,
Custom Region,Uruguay,2014,20,53327,26999,26328,1.6,1.7,1.5,102.5,,,,,,,,
Custom Region,Uruguay,2014,21,52243,26460,25783,1.6,1.6,1.5,102.6,,,,,,,,
Custom Region,Uruguay,2014,22,51346,26005,25341,1.5,1.6,1.5,102.6,,,,,,,,
Custom Region,Uruguay,2014,23,52119,26411,25708,1.6,1.6,1.5,102.7,,,,,,,,
Custom Region,Uruguay,2014,24,52014,26354,25660,1.6,1.6,1.5,102.7,,,,,,,,
Custom Region,Uruguay,2014,25,50591,25625,24966,1.5,1.6,1.4,102.6,,,,,,,,
